2019-04-07 18:01,Julian,BankPassword,testpasstiles,StrokePasswordScheme,generate,check,password created ,,,
2019-04-07 18:02,Julian,EmailPassword,testpasstiles,StrokePasswordScheme,generate,check,password created ,,,
2019-04-07 18:02,Julian,ShoppingPassword,testpasstiles,StrokePasswordScheme,generate,check,password created ,,,
2019-04-07 18:02,Julian,BankPassword,testpasstiles,StrokePasswordScheme,enter,start,start login test ,,,
2019-04-07 18:02,Julian,BankPassword,testpasstiles,StrokePasswordScheme,enter,order input,clicked java.awt.Point[x=0,y=2] with color java.awt.Color[r=255,g=255,b=0] 
2019-04-07 18:02,Julian,BankPassword,testpasstiles,StrokePasswordScheme,enter,order input,clicked java.awt.Point[x=0,y=1] with color java.awt.Color[r=255,g=255,b=0] 
2019-04-07 18:02,Julian,BankPassword,testpasstiles,StrokePasswordScheme,enter,order input,clicked java.awt.Point[x=1,y=1] with color java.awt.Color[r=255,g=255,b=0] 
2019-04-07 18:02,Julian,BankPassword,testpasstiles,StrokePasswordScheme,enter,color,select color Green ,,,
2019-04-07 18:02,Julian,BankPassword,testpasstiles,StrokePasswordScheme,enter,order input,clicked java.awt.Point[x=2,y=1] with color java.awt.Color[r=0,g=255,b=0] 
2019-04-07 18:02,Julian,BankPassword,testpasstiles,StrokePasswordScheme,enter,order input,clicked java.awt.Point[x=2,y=2] with color java.awt.Color[r=0,g=255,b=0] 
2019-04-07 18:02,Julian,BankPassword,testpasstiles,StrokePasswordScheme,enter,order input,clicked java.awt.Point[x=3,y=3] with color java.awt.Color[r=0,g=255,b=0] 
2019-04-07 18:02,Julian,BankPassword,testpasstiles,StrokePasswordScheme,enter,color,select color Purple ,,,
2019-04-07 18:02,Julian,BankPassword,testpasstiles,StrokePasswordScheme,enter,order input,clicked java.awt.Point[x=3,y=0] with color java.awt.Color[r=255,g=0,b=255] 
2019-04-07 18:02,Julian,BankPassword,testpasstiles,StrokePasswordScheme,enter,order input,clicked java.awt.Point[x=4,y=0] with color java.awt.Color[r=255,g=0,b=255] 
2019-04-07 18:02,Julian,BankPassword,testpasstiles,StrokePasswordScheme,enter,order input,clicked java.awt.Point[x=4,y=1] with color java.awt.Color[r=255,g=0,b=255] 
2019-04-07 18:02,Julian,BankPassword,testpasstiles,StrokePasswordScheme,login,failure,failed to login at 1 try ,,,
2019-04-07 18:02,Julian,BankPassword,testpasstiles,StrokePasswordScheme,enter,start,start login test ,,,
2019-04-07 18:02,Julian,BankPassword,testpasstiles,StrokePasswordScheme,enter,color,select color Purple ,,,
2019-04-07 18:02,Julian,BankPassword,testpasstiles,StrokePasswordScheme,enter,order input,clicked java.awt.Point[x=3,y=0] with color java.awt.Color[r=255,g=0,b=255] 
2019-04-07 18:02,Julian,BankPassword,testpasstiles,StrokePasswordScheme,enter,order input,clicked java.awt.Point[x=4,y=0] with color java.awt.Color[r=255,g=0,b=255] 
2019-04-07 18:02,Julian,BankPassword,testpasstiles,StrokePasswordScheme,enter,order input,clicked java.awt.Point[x=4,y=1] with color java.awt.Color[r=255,g=0,b=255] 
2019-04-07 18:02,Julian,BankPassword,testpasstiles,StrokePasswordScheme,enter,color,select color Green ,,,
